gene_symbol,entrez_id,region,expression_level,marker_annotation,original_annotation
KCNA1,3736,V2,++++,layer 3,"layer 3,5/6"
KCNA1,3736,Temporal,++++,layer 3,"layer 3,5/6"
KCNA1,3736,V1,++++,layer 3,layer 5/6+scattered(3/4)
KCNA1,3736,V2,++++,layer 3,"layer 3,5/6"
KCNA1,3736,Temporal,++++,layer 3,"layer 3,5/6"
KCNA1,3736,V1,++++,layer 3,layer 5/6+scattered(3/4)
KCNA1,3736,V2,++++,layer 3,"layer 3,5/6"
KCNA1,3736,Temporal,++++,layer 3,"layer 3,5/6"
KCNA1,3736,V1,++++,layer 5,layer 5/6+scattered(3/4)
KCNA1,3736,V2,++++,layer 5,"layer 3,5/6"
KCNA1,3736,Temporal,++++,layer 5,"layer 3,5/6"
KCNA1,3736,V1,++++,layer 5,layer 5/6+scattered(3/4)
KCNA1,3736,V2,++++,layer 5,"layer 3,5/6"
KCNA1,3736,Temporal,++++,layer 5,"layer 3,5/6"
KCNA1,3736,V1,++++,layer 5,layer 5/6+scattered(3/4)
KCNA1,3736,V2,++++,layer 5,"layer 3,5/6"
KCNA1,3736,Temporal,++++,layer 5,"layer 3,5/6"
KCNA1,3736,V1,++++,layer 6,layer 5/6+scattered(3/4)
KCNA1,3736,V2,++++,layer 6,"layer 3,5/6"
KCNA1,3736,Temporal,++++,layer 6,"layer 3,5/6"
KCNA1,3736,V1,++++,layer 6,layer 5/6+scattered(3/4)
KCNA1,3736,V2,++++,layer 6,"layer 3,5/6"
KCNA1,3736,Temporal,++++,layer 6,"layer 3,5/6"
KCNA1,3736,V1,++++,layer 6,layer 5/6+scattered(3/4)
KCNA1,3736,V2,++++,layer 6,"layer 3,5/6"
KCNA1,3736,Temporal,++++,layer 6,"layer 3,5/6"
KCNA10,3744,V1,-,NA,none
KCNA10,3744,V2,-,NA,none
KCNA10,3744,Temporal,-,NA,NA
KCNA2,3737,V1,+++++,NA,scattered+ubiquitous
KCNA2,3737,V2,+++++,NA,scattered+ubiquitous
KCNA2,3737,Temporal,+++++,NA,scattered+ubiquitous
KCNA3,3738,V1,+,NA,ubiquitous
KCNA3,3738,V2,+,NA,ubiquitous
KCNA3,3738,Temporal,+,NA,NA
KCNA4,3739,V1,++,NA,ubiquitous
