"","gene_symbol","Layer1","Layer2","Layer3","Layer4","Layer5","Layer6"
"7063","CLIP2",6.58354061491205,6.54474512302848,6.77918012631642,6.83818429134185,6.86712482898408,6.84581179531215
"7064","GTF2IRD1",3.98264481901685,3.7334544952778,3.71374468632827,3.64326892871639,3.68621235496646,3.11393894858741
"7065","GTF2I",8.62928270726939,8.65174537440854,8.67786248367474,8.72123761967291,8.74423732284651,8.71922283282491
"7066","NCF1",2.82213351569227,2.42828656146404,2.1464134153753,2.18082638955547,2.47161451497928,2.87173663708911
"7067","GTF2IRD2",2.92370488448594,3.29572664143563,3.01904869033259,3.05891292748903,2.6909391333145,2.45761849060544
"7068","CASTOR2",0.178496618658084,0.490942481025839,0.398171789466149,0.3200567225001,0.577146522870563,0.178496618658083
"7069","RCC1L",4.49309686875419,4.53079085869555,4.4781063166138,4.5445599637337,4.47948657222399,4.39326925404866
"7070","GTF2IRD2B",3.12902548852941,3.19887911595759,2.73642695275409,2.66377390168855,2.78728231466038,2.88889893008956
"7071","TRIM73",0.789383976538298,1.10700501232806,1.11877088763449,1.29499185856785,1.22546095552428,0.959888996659685
"7072","POM121C",4.96310661744715,5.28887298711814,5.12311984158977,4.90554651592217,5.02869714752207,4.90584410490294
"7073","HIP1",4.37669457051353,3.59324613542824,3.43793391940443,3.27081856770926,3.60882766686673,4.11433770867571
"7074","CCL26",0.41853137346694,0.178496618658084,0.333331980234547,0.3200567225001,0.178496618658083,0.178496618658083
"7075","RHBDD2",8.64684590095253,9.01204088118238,8.91155429284963,8.87001933777929,8.87567871320665,8.95889005175178
"7076","POR",5.80092030081994,5.87185002071199,5.80410429849084,5.71353912715687,5.64984000357108,5.62043561340023
"7077","TMEM120A",5.55366904992937,5.53783300594076,5.64083775883833,5.75347765623808,5.45659392575737,5.42750669669397
"7078","STYXL1",4.33563198249422,3.91951538062693,4.04090779858218,4.08720428550944,4.21087876167322,4.35059402039868
"7079","MDH2",7.79290837024185,8.08428819939325,8.07958143037036,8.10325880057091,8.07751800012638,7.86286701271026
"7080","SRRM3",5.07429397832907,5.13774916912226,4.99364666344293,4.99468600593513,4.79915461241503,4.30030710010394
"7081","HSPB1",8.37331661228268,7.89169850185385,7.84074062064515,7.84304108741143,7.61821891979747,7.91900630033979
"7082","YWHAG",9.58521766026116,10.1626138715909,10.255515333486,10.313846513657,10.3719879454586,10.2063759128447
"7083","SSC4D",2.13397930202079,2.4293230705776,2.33272677130069,2.15410958843411,1.87056262814788,1.94341105083897
"7084","ZP3",1.53129540100307,1.37538128145887,1.50864796189743,1.44962841115448,1.60901888504483,1.24206285195391
"7085","DTX2",2.80316242462125,2.81097074992491,2.78806772713883,2.72038356497489,2.82657038473461,3.22198227865121
"7086","UPK3B",0.548474023398482,0.178496618658084,0.269330681747573,0.178496618658083,0.178496618658083,0.178496618658083
"7087","SPDYE16",0.986055655635118,1.56919676052878,0.970849006527975,0.91008285047608,0.85260310978945,0.918718454308692
"7088","POMZP3",3.65068523487172,3.7348332605292,3.55311946618744,3.49042267707477,3.44499059614146,2.84307485711067
"7089","CCDC146",2.67445259233587,3.08633512192372,2.65342043268481,3.13705947310596,2.95531989195389,2.36174999352499
"7090","FGL2",3.24154267001213,2.82337493542801,2.79751630029037,2.23408130664372,2.83868690961603,2.36093550806822
"7091","GSAP",3.05330406432413,2.54009405699079,3.2805870475004,3.20189984477361,3.0595028221523,2.74436616372643
"7092","PTPN12",4.86548136037662,4.57570532399289,4.4722049017913,4.50451437418813,4.54101168110268,4.54380577706176
"7093","APTR",3.11351564816379,3.18498044021203,3.13540304493869,2.89718279429433,2.85414472659733,3.00243813563899
"7094","RSBN1L",4.90811968647978,5.37751964728122,4.92559291289503,4.76890264367727,4.98827071717841,4.78471532022071
"7095","TMEM60",4.41729627986228,4.67716282282701,4.77747238261581,4.72652948106884,4.84160106342553,4.72983511546685
"7096","PHTF2",3.85549914616611,4.6886758717562,4.25202281968361,3.9853978536461,4.06352171640447,4.28581513844403
