"","gene_symbol","L1","L2","L3","L4","L5","L6"
"19449","LOC105369466",430,2292,1209,710,2087,851
"19450","LOC105369467",0,363,3,10,545,1
"19451","LOC105369468",16478,50528,54497,15840,19805,25879
"19452","LOC105369469",930,2827,7382,3588,2681,2409
"19453","LOC105369470",14448,51307,59149,17274,22212,29472
"19454","LOC105369471",16866,45411,63220,22177,28350,32774
"19455","LOC105369472",4241,10614,17208,12117,15072,13121
"19456","LOC105369473",165,165,935,518,753,653
"19457","LOC105369474",222,1935,2132,364,1510,3546
"19458","LOC105369475",260,419,646,414,569,534
"19459","LOC105369476",1535,6653,18731,13588,9404,12977
"19460","LOC105369477",41081,76052,140251,107976,117607,116754
"19461","LOC105369479",85,1,10,1,5,111
"19462","LOC105369480",2,54,40,28,44,12
"19463","LOC105369481",91,330,280,204,77,24
"19464","LOC105369482",1008,2065,3050,2168,1176,1311
"19465","LOC105369483",42,0,669,232,0,73
"19466","LOC105369484",1081,1255,2834,1591,2052,2366
"19467","LOC105369485",699,107,40,248,132,581
"19468","LOC105369486",1404,2479,2225,1364,1398,1645
"19469","LOC105369488",0,2,97,120,161,1
"19470","LOC105369489",168,139,1121,1542,1614,972
"19471","LOC105369490",11,341,607,459,1276,1042
"19472","LOC105369491",0,4,1,0,2,1
"19473","LOC105369492",0,0,0,0,0,48
"19474","LOC105369493",2269,2221,4333,2679,4356,4057
"19475","LOC105369494",5,9,42,7,10,11
"19476","LOC105369495",12512,23907,57313,43585,44772,40386
"19477","LOC105369496",867,7494,8830,9510,19881,23957
"19478","LOC105369497",433,357,955,1401,1516,2719
"19479","LOC105369498",198,306,1405,423,1841,1868
"19480","LOC105369499",6040,20290,25019,21835,23057,16164
"19481","LOC105369500",852,3917,2639,1744,2988,3444
"19482","LOC105369501",812,2639,2575,1449,2507,2738
"19483","LOC105369502",3798,6886,19067,9652,9150,9190
"19484","LOC105369503",24964,33127,80782,72169,67059,59539
"19485","LOC105369504",1056,2195,4251,3727,6447,5424
